,Session,Question,Question from,Party,Date Dated,Date Answered
10,2015-2016,"I Statens vegvesen (SVV) sin handlingsplan for 2014-2017 lå E6 Helgeland inne, et av prosjektene er oppstart av strekningen Brattås-Lien i 2016/2017. SVV er godt i gang med planleggingen og skulle etter planen legge prosjektet ut på anbud høsten 2016 med oppstart 2017. Nå er det stor usikkerhet om dette vil skje, da man i etatenes utkast til ny NTP 2018-2029 først har en oppstart i 2018 på høy ramme og først i 2024 på middels ramme.
Kan statsråden berolige alle om at anbudet går som planlagt slik at man får en oppstart 2017?",Kjell-Idar Juvik,Arbeiderpartiet,2016-05-26,2016-06-01
11,2015-2016,"I en vurdering av norsk økonomi fra IMF understrekes det at Norge har blitt for oljeavhengig. IMF mener det er en politisk oppgave å få til en omstilling vekk fra oljeavhengigheten, og at vi trenger virkemidler som bidrar til en myk overgang til en mindre oljeavhengig vekstmodell. Nøler vi med omstillingen, vil det føre til økt arbeidsledighet over en lengre periode, ifølge IMF.
Hvordan planlegger statsråden å redusere norsk oljeavhengighet for å unngå økt arbeidsledighet?",Une Bastholm,Miljøpartiet De Grønne,2016-05-26,2016-06-01
12,2015-2016,"Det er viktig å legge til rette for at folk kan bo og jobbe i hele Norge. Slik unngår vi også unødvendig sentralisering med de utfordringer det representerer. Gjennom regjeringens sentraliseringsiver, kutt i regionale utviklingsmidler og politikk på flere andre områder går Norge nå i motsatt retning.
Vil statsråden ta initiativ for å snu denne negative utviklingen og bidra til at folk også i framtida kan jobbe - og leve - i hele landet?",Tore Hagebakken,Arbeiderpartiet,2016-05-26,2016-06-01
13,2015-2016,"I avtalen om inntektssystemet for kommunene mellom Høyre, Fremskrittspartiet og Venstre heter det at det innen utgangen av 2016 skal legges fram en plan for utflytting av statlige arbeidsplasser fra Oslo. I flere bydeler her er arbeidsledigheten høyere enn på Sør-Vestlandet, og mange familier vil rammes hvis hundrevis eller tusenvis av arbeidsplasser flyttes langt fra Oslo.
Hvordan mener statsråden at flytting av arbeidsplasser fra Oslo har noe med inntektssystemet å gjøre, og vil han trekke inn lokale myndigheter i arbeidet med utflyttingsplanene?",Jan Bøhler,Arbeiderpartiet,2016-05-26,2016-06-01
14,2015-2016,"I trygdeoppgjøret 2015 og statsbudsjettet 2016 varslet regjeringen en gjennomgang av reguleringsprinsippene for løpende pensjoner i god tid før oppgjøret 2016, for å unngå at pensjonistenes kjøpekraft går ned i flere påfølgende år, mens arbeidstakernes øker. I RNB 2016 får Stortinget kun beskjed om at reglene er uendret, og at trygdeoppgjørene ikke lenger skal til Stortinget.
Hva er regjeringens begrunnelse for at Stortinget ikke lenger skal involveres i inntektsfastsettelsen til over 1 million innbyggere?",Lise Christoffersen,Arbeiderpartiet,2016-05-26,2016-06-01
15,2015-2016,"Statlig eierskap handler om vårt felles eierskap til viktige naturressurser, om kontroll med viktig infrastruktur og om eierskap i bedrifter som sikrer verdiskaping, industriell utvikling og trygge arbeidsplasser. En av få saker regjeringen har lagt fram for Stortinget i næringspolitikken, er eierskapsmeldingen. Der ble Stortinget bedt om å gi en rekke salgsfullmakter. Heldigvis fikk langt fra alle støtte, men det ble gitt fullmakt til å selge bl.a. Telenor og Kongberggruppen.
Vil regjeringen benytte disse fullmaktene?",Else-May Norderhus,Arbeiderpartiet,2016-05-26,2016-06-01
16,2015-2016,"De fleste i Norge er enige i at kvinner og menn skal ha like muligheter. Sånn er det ikke i dag. Kvinner møter større hindringer i sine liv enn menn. Å fjerne hindringene krever politisk vilje og handling. Kutt i deltidsmidler, svekkelser av arbeidsmiljøloven og fjerning av de viktigste virkemidlene i likestillingsloven er noen eksempler på regjeringens politikk som ytterligere reduserer kvinners muligheter.
Er denne politikken et resultat av at regjeringen mener økt likestilling i samfunnet ikke er en politisk oppgave?",Anniken Huitfeldt,Arbeiderpartiet,2016-05-26,2016-06-01
17,2015-2016,"Kreftmedisin er et fag i rask utvikling, og nye behandlinger introduseres fortløpende. Mange av disse er spesialiserte og kostbare løsninger som utfordrer fellesskapets evne til å prioritere. Legemiddelindustrien begrunner høye priser med store utviklingskostnader for nye medisiner.
Hvordan og med hvilke virkemiddler kan statsråden bidra til at det viktige FoU-arbeidet ved Oslo Cancer Cluster får en forutsigbar finansiering, slik at man unngår å lene seg på enkeltaktører i industrien?",Ingvild Kjerkol,Arbeiderpartiet,2016-05-26,2016-06-01
18,2015-2016,"Få ting, om noe, er viktigere for et samfunn enn å beskytte sine barn. Likevel lever mange barn med daglige fysiske, psykiske og seksuelle overgrep. Arbeiderpartiet har øremerket 60 mill. kroner til økt etterforskningskapasitet i politiet i årets budsjett. Vår regjering innførte Barnehus i Norge, og vi stod i front for loven om avhør innen 14 dager. Nå er det snart 3 år siden statsråden tok over ansvaret for disse barna. Fortsatt er ikke lovens krav nådd.
Når vil statsråden kreve av politiet at loven oppfylles?",Kari Henriksen,Arbeiderpartiet,2016-05-26,2016-06-01
19,2015-2016,"Våre største og viktigaste naturressursar finn me i kyst- og havområda. Dette er ressursar me må sikra at fellesskapet kan ha kontroll med også i framtida. Dei som kom føre oss sikra eigarskap til vannkrafta, og det same vart gjort med petroleumsressursane. Me må ikkje sette oss i ein situasjon der me ikkje lenger har herredøme over våre fiskeressursar. I regjeringsplattforma vert det tatt til orde for evigvarande fiskekvoter.
Er dette noko statsråden har planer om å følgje opp?",Ingrid Heggø,Arbeiderpartiet,2016-05-26,2016-06-01
20,2015-2016,"Konkurranseevnen i næringslivet er avhengig av bedriftenes evne til kontinuerlig innovasjon og fornyelse. Gode klynger som tilrettelegger for samhandling mellom bedrifter, kunnskapsmiljøer, kunder, brukere og internasjonale nettverk påvirker innovasjonsevnen. Oslo Cancer Cluster er en slik klynge innen helseindustri, som nylig er blitt del av et prestisjetungt EU-samarbeid.
Hvordan vil statsråden ta initiativ til å få på plass rammebetingelser tilpasset OCC og vekstpotensial i norsk helseindustri?",Ruth Grung,Arbeiderpartiet,2016-05-26,2016-06-01
21,2015-2016,"Det store flertallet i Norge ønsker å beholde søndagen som en annerledesdag. Da regjeringen for 2 år siden ville liberalisere helligdagsfredloven, fikk den klar beskjed om at verken arbeidsgivere eller arbeidstakere i bransjen selv ønsket å søndagsåpne flere butikker. Likevel har statsråden signalisert at hun ønsker å utrede loven på nytt.
Hvorfor vil statsråden skape ny usikkerhet og bruke ressurser på en utredning kort tid etter den forrige, i stedet for å sørge for at dagens lovverk overholdes og håndheves?",Martin Henriksen,Arbeiderpartiet,2016-05-26,2016-06-01
22,2015-2016,"En styrke ved det norske arbeidslivet har vært at vi har klare ansettelsesforhold med avklart arbeidstid og lønn. Utviklingen av såkalte faste ansettelser uten lønn mellom oppdrag utfordrer dette. I Innst. 368 S (2014-2015) fastslo et enstemmig storting at lovens forarbeider støtter at lovens intensjon for faste ansettelser ikke ivaretas av disse kontraktsformene.
Hva har statsråden gjort for å følge opp dette?",Dag Terje Andersen,Arbeiderpartiet,2016-05-26,2016-06-01
23,2015-2016,"Kvinneklinikken ved Haukeland universitetssjukehus er under hardt press. Pressa økonomi har ifølgje tillitsvalde ført til ein så lav bemanning at den kan vere ein fare for pasienttryggleiken. Fylkeslegen opna i vinter tilsynssak etter bekymringsmelding frå dei tilsette. Bergens Tidende kunne 24. mai 2016 melde at tilbodet om 'Jordmor i heimen' blir avvikla i sommar, utan at det vert lagt opp til fleire barselrom.
Meiner statsråden at dette er forsvarleg barselomsorg og eit innsparingstiltak som nybakte mødrer må akseptera?",Kjersti Toppe,Senterpartiet,2016-05-26,2016-06-01
24,2015-2016,"Mitt spørsmål går til finansministeren. 
Store deler av denne spørretimen har handlet om regjeringens elendige politiske håndverk i avgiftspolitikken, som nå er i ferd med å koste tusen mennesker deres arbeidsplass, men la oss, i hvert fall for variasjonens skyld, ta en titt på skattepolitikken. 
Høyre–Fremskrittspartiet-regjeringen har siden de overtok, valgt å kutte skattene med rundt 20 mrd. kr – mest til dem med mest fra før. Så ser vi nå en situasjon med det høyeste antallet arbeidsledige som SSB noensinne har målt. Det gjør at det er mange norske familier som er i en vanskelig og alvorlig situasjon. Og det er bakgrunnen for at Arbeiderpartiet har etterlyst sterkere tiltakspakker og en regjering som gjør mer for å hindre at ledigheten stiger. 
Vi har ganske enkelt spurt både finansministeren og statsministeren hva sysselsettingseffekten av disse skattekuttene er, men uten å få svar. Til slutt spurte vi SSB, og resultatene er krystallklare: Skattekutt er dyrt, og det er ineffektivt som et virkemiddel for å skape arbeidsplasser. For kostnaden av å generere én arbeidsplass gjennom skattekutt kunne vi fått 15 nye arbeidsplasser i privat sektor ved heller å prioritere offentlige investeringer. Like etter at svaret fra SSB kom, påsto Siv Jensen at regjeringen aldri har sagt at skattekuttene er et tiltak for å bekjempe ledighet, men jeg vil minne om det Siv Jensen sa i finanstalen i fjor høst: Da fremhevet hun at et lavere skattenivå «er det fremste tiltaket for å fremme omstilling, verdiskaping og arbeidsplasser i næringslivet» – altså ikke bare ett av mange tiltak, men det fremste tiltaket. 
Spørsmålet mitt er ganske enkelt: Stiller Siv Jensen seg bak sitt eget utsagn om sitt eget budsjett, eller vil hun framover prioritere tiltak som vi nå vet virker 15 ganger mer effektivt enn regjeringens skattekutt? 
",Marianne Marthinsen,Arbeiderpartiet,2016-05-25,2016-05-25
25,2015-2016,"I forbindelse med forhandlingene om Oslopakke 3 foregår det en diskusjon om hvor høye bompengesatser det er rimelig å ta av bilister. Fremskrittspartiet gjorde kampen mot bompengefinansiert veiutbygging til en av sine høyest prioriterte saker før valget i fjor høst. Løftet var at det skulle bli slutt på bompenger hvis Fremskrittspartiet kom i regjering, Men etter at Ketil Solvik-Olsen ble samferdselsminister, slo han fast at Fremskrittspartiets løfte om å kjempe mot bompenger står fast. Videre har Solvik-Olsen som samferdselsminister uttalt: 

«Vi får ikke fjernet bompengene, men folk vil merke endringer. Framover skal bilistene måtte betale mindre i bompenger, ikke mer og mer, slik det ville blitt om FrP ikke satt i regjering.» 

Dersom full utbygging av E18 Vestkorridoren gjennomføres, viser beregninger NRK har fått tilgang til, at bompengeprisen vil bli 120 kr. Jobber en 230 dager i året, må en ut med 27 600 kr. I dagens bomring er prisen 6 624 kr i året, inkludert brikkerabatt. Det er over smertegrensen til fylkesordføreren i Akershus, Anette Solli fra Høyre. Hun uttaler: 

«Det blir for dyrt. Det er vanskelig for folk å akseptere et sånt nivå.» 

Videre: 

«Langt over smertegrensen. Vi må i stedet gå gjennom prosjektlista og bestemme oss for prioriteringer.» 

Og: 

«(...) 75 kr er mer enn nok. Vår grense går der.» 

De som kjemper for den største E18-løsningen, kjemper for høyere bompenger, ikke lavere, som statsråden hele tiden hevder at han gjør. 
Mitt spørsmål til statsråden er derfor: Har statsråden overhodet noen smertegrense for hvor mye bompenger det er greit å kreve inn fra bilistene for å bygge E18 Vestkorridoren? 
",Heikki Eidsvoll Holmås,Sosialistisk Venstreparti,2016-05-25,2016-05-25
26,2015-2016,"Mitt spørsmål går til samferdselsministeren. 
De fire borgerlige partiene har ved budsjettforhandlinger gjort mye bra for togsatsingen i Norge. Vi har fått flere avganger, og vi utnytter det systemet som vi har i dag, så godt det lar seg gjøre. 
Mange steder i Europa er jernbane og tog et godt alternativ til både biltrafikk og også til flytrafikk. Man har mange strekninger hvor toget er en reell konkurrent og det foretrukne alternativet. I Norge har vi en liten smak av dette med det nye tilbudet som SJ har mellom Oslo og Stockholm. Der er reisetiden nå gått ned med en og en halv time, og trafikken har økt med 20 pst., og man ser for seg at på strekningen fra SJs side er det et potensial der også, med ytterligere forbedringer ved at man kan ta opp mot 40 pst. av transporten, og det er et reelt alternativ til fly. 
Ved behandlingen av Nasjonal transportplan i 2009 la Stortinget til grunn at framtidig jernbane skulle bygges med en dimensjonering for 250 km i timen, og ved stortingsbehandlingen av NTP i 2013 ble en hastighet på 250 km i timen gjentatt i flere merknader. Til tross for det er det i dag, så vidt jeg vet, bare ett sted med ca. 2 km jernbane nede ved Holmestrand at man bygger med en dimensjonering for 250 km i timen. 
Da blir mitt spørsmål: Når vil samferdselsministeren sørge for at vi, når vi bygger ny jernbane i Norge, gjør det med en dimensjonering for 250 km i timen? 
",Ola Elvestuen,Venstre,2016-05-25,2016-05-25
27,2015-2016,"Bak oss ser vi Riksforsamlingen fra 1814. Der er Grunnlovens far, Falsen, som står og leser opp Grunnloven, og så er det Christie som snur seg rundt og ser først ned på presidenten, så ned på statsministerens stol og opp på slottet. 
På hver enkelt plass for alle oss representanter ligger Grunnloven. Det er en linje fra eidsvollsmennene til dagens storting og dem som styrer i dag, og Grunnloven ligger fast. 
Det mest alvorlige vi som storting kan gjøre, er å avgi suverenitet. Etter Grunnloven kan ikke norske styresmakter avgi suverenitet til et internasjonalt organ vi ikke er medlem av, som f.eks. EU. Det norske folk har jo sagt nei til EU to ganger – det er mye klokskap i det norske folk. 
Det regjeringen nå foreslår, er å legge det norske finanstilsynet under EU, gi makten over regelverk og tilsyn med norsk finanssektor og norske banker fra Stortinget til Brussel. Vi skal behandle den største suverenitetsavståelsen i nyere tid i det norske stortinget før sommeren, og det skal behandles på en hastemåte som vi ikke har sett noe lignende som, noen gang. Det behandles raskere enn et vanlig Dokument 8-forslag. Det er grundigere prosesser i Stortinget om hvor et veikryss skal legges, enn om den suverenitetsavståelsen vi nå ser – og det etter svært sterkt press fra Fremskrittspartiet og Høyre i regjering. De har sagt og de har ment at dette må presses gjennom fort, det haster, det er svært alvorlig. 
Så mitt spørsmål er: Hvorfor skal vi legge oss under det EU-regelverket, og hvorfor haster det så mye? Hvorfor kan vi ikke ha en ordentlig debatt? Frykter Fremskrittspartiet folket i denne saken? 
",Trygve Slagsvold Vedum,Senterpartiet,2016-05-25,2016-05-25
28,2015-2016,"Mitt spørsmål går til samferdselsministeren. 
Utslippet av klimagasser i Norge øker. Nye tall viser at utslippene steg med 1,5 pst. i 2015. Utslippene lå på i alt 33,9 mill. tonn i 2015 – en økning på snaut 0,8 mill. tonn fra året før. Vi kan ikke, iallfall ikke ene og alene, skylde på vedtak gjort under den rød-grønne regjeringen. En viktig grunn til økningen er selvsagt bruk av naturgass offshore. Utslippene fra utvinning av olje og gass steg alene med 2,3 pst. forrige år. 
Men også i veitrafikken har utslippene økt. Transportsektoren må ta sin del av ansvaret for å skape renere luft der folk bor og oppholder seg i hverdagen. De må kunne puste trygt i byene uten at det går på helsa løs. Derfor er jeg glad for at Kristelig Folkeparti, som følge av det gode samarbeidet vi har på ikke-sosialistisk side, har fått gjennomslag for tiltak som kan få utslippene ned, samtidig som transporttilbudet blir bedre. Etter forslag fra Kristelig Folkeparti har Stortinget vedtatt tiltak for å få mer gods over fra vei til sjø, veitransporten skal elektrifiseres med flere ladestasjoner for elbil. Det blir enklere å sykle i byene, og det skal satses på mer miljøvennlig luftfart gjennom biodrivstoff – for å nevne noe – samt kollektiv- og jernbanesatsingen som Kristelig Folkeparti også har vært en pådriver for. 
Men utfordringene er store, og mitt spørsmål er derfor: Hva innen transportsektoren vil være de viktigste forpliktelsene statsråden kan gi her og nå på vegne av regjeringen, og kan statsråden garantere at Fremskrittspartiet i regjering vil ta i bruk de virkemidlene som trengs for å oppfylle Stortingets mål om utslippskutt? 
",Hans Fredrik Grøvan,Kristelig Folkeparti,2016-05-25,2016-05-25
